Parent,Agency No.,Agency Name,Contact,Operating Hours,Address,Latitude,Longitude,Agency_Name_Clean,Agency_Name_Standardized,,Filter_1,Filter_2,,
R1198,R1198FP,Iglesia De Dios Pentecostal,919-906-5042,4th Fridays 11am-1pm,"2331 New Bern Ave, Raleigh, NC 27610",35.0959143,-77.0692189,iglesia de dios pentecostal,iglesia de dios pentecostal,,Food Distribution,Food Pantries,,
R1211,R1211FP,Juniper Level,919-832-5435,1st & 3rd Thursday 9:30 am -11:30am,"9104 Sauls Rd, Raleigh, NC 27603",35.6311955,-78.6418855,juniper level,juniper level,,Food Distribution,Food Pantries,,
R1227,R1227FP,Macedonia New Life,919-832-2784,Every Thursday from 12-1pm and 1st/3rd/5th Saturday from 12-1pm,"2004 Rock Quarry Rd, Raleigh, NC 27610",35.75222342,-78.6132374,macedonia new life,macedonia new life,,Food Distribution,Food Pantries,,
R1233,R1233FP,Millbrook United Methodist,919-876-0865,Saturdays  10:00 am-12:00 pm,"1712 E Millbrook Rd, Raleigh, NC 27609",35.8498898,-78.6064219,millbrook united methodist,millbrook united methodist,,Food Distribution,Food Pantries,,
R1244,R1244FP,N.C.A. Philip Randolph Inst.,919-833-6671,"Thursday, Friday 1:30 pm -3:30 p.m.","1408 Hillsborough St, Raleigh, NC 27605",35.7840819,-78.6569706,n.c.a. philip randolph inst.,n.c.a. philip randolph inst.,,Food Distribution,Food Pantries,,
R1251,R1251FP,New Bethel Baptist Church,919-389-1347,2nd Tuesday andÂ  3rd Tuesday from 10 to 1 pm. And the third Saturday once a quarter for Need to Feed from 8 to 10 am,"605 E Young St, Rolesville, NC 27571",35.9173222,-78.452307,new bethel baptist church,new bethel baptist church,,Food Distribution,Food Pantries,,
R1252,R1252FP,New Bethel Christian Church,202-302-0158,2nd & 4th Tuesday 10:30 am - 12:30 pm,"4307 Old Poole Rd, Raleigh, NC 27610",35.7645706,-78.5670835,new bethel christian church,new bethel christian church,,Food Distribution,Food Pantries,,
R1258,R1258FP,New Freedom Christian,919-601-2352,Fridays 5:30 p.m. - as supplies last,"3540 Maitland Dr Ste 102, Raleigh, NC 27610",35.79630358,-78.58134352,new freedom christian,new freedom christian,,Food Distribution,Food Pantries,,
R1263,R1263FP,New Providence Missionary,919-552-3531,2nd & 3rd Sat 1:00 pm - 3:00 pm,"4813 Hilltop Needmore Rd, Fuquay-Varina, NC 27526",35.6317666,-78.7446191,new providence missionary,new providence missionary,,Food Distribution,Food Pantries,,
R1267,R1267FP,North Haven Ministries Inc,919-847-4291,3rd Sat 10 am - 11:00 am,"6620 Six Forks Rd, Raleigh, NC 27615",35.8712017,-78.6407859,north haven ministries inc,north haven ministries inc,,Food Distribution,Food Pantries,,
R1277,R1277FP,Open Door Baptist Church,919.847.6969, Saturday 11:00 am - 12:00 pm,"9801 Durant Road, Raleigh, NC 27614",35.8999761,-78.5764474,open door baptist church,open door baptist church,,Food Distribution,Food Pantries,,
R1288,R1288FP,Pleasant Grove Missionary,919-365-0013,"1st & 3rd Tuesday 10 a.m. - 11a.m., 1st & 3rd Wednesday 5 p.m. - 6 p.m., 5th Tues 10am-11am","948 Morphus Bridge Rd, Wendell, NC 27591",35.781547,-78.3526548,pleasant grove missionary,pleasant grove missionary,,Food Distribution,Food Pantries,,
R1290,R1290FP,Poplar Springs Christian,919-772-5151,1st & 4th Monday 7:00 am -10:00 am,"6115 Old Stage Rd, Raleigh, NC 27603",35.69560794,-78.65218411,poplar springs christian,poplar springs christian,,Food Distribution,Food Pantries,,
R1294,R1294FP,Progressive Teamwork Outreach,919-395-8253,"3rd Tues 4pm-6pm, TH 4p-6p, Sa- by appointment only","1300 Mack Todd Rd, Zebulon, NC 27597",35.8080682,-78.3351355,progressive teamwork outreach,progressive teamwork outreach,,Food Distribution,Food Pantries,,
R1298,R1298FP,Raleigh Church of Christ,919-852-5683,4th Saturday 9:30 am -11::00 am,"911 Barringer Dr, Raleigh, NC 27606",35.775499,-78.723314,raleigh church of christ,raleigh church of christ,,Food Distribution,Food Pantries,,
R1299,R1299FP,Raleigh Dream Center,919-867-4446,Friday 10:00 am - 11:30 am,"4301 Louisburg Rd, Raleigh, NC 27604",35.8420238,-78.5751221,raleigh dream center,raleigh dream center,,Food Distribution,Food Pantries,,
R1303,R1303FP,Raleigh Rescue Mission,919-828-9014 ,As needed,"314 E Hargett St, Raleigh, NC 27601",34.8982722,-77.5433889,raleigh rescue mission,raleigh rescue mission,,Food Distribution,Food Pantries,,
R1315,R1315FP,Revelation Missionary Baptist Church,919-828-9292,"3rd Saturday, 10-11:30 am","805 E Davie St, Raleigh, NC 27601",35.77541794,-78.62595649,revelation missionary,revelation missionary,,Food Distribution,Food Pantries,,
R1318,R1318FP,Richland Creek Community,919-556-9292,2nd & 4th Saturday 9:00 am - 11:00 am,"3229 Burlington Mills Rd, Wake Forest, NC 27587",35.920139,-78.52198,richland creek community,richland creek community,,Food Distribution,Food Pantries,,
R1331,R1331FP,Salvation Army-Raleigh,919-834-6733,Tuesday & Thursday 1pm-3pm,"1863 Capital Blvd, Raleigh, NC 27601",35.8071403,-78.6170536,salvation army-raleigh,salvation army,,Food Distribution,Food Pantries,,
R1356,R1356FP,St. Anna Freewill Baptist,919-552-1107,3rd Friday  12-2pm,"11705 Old Stage Rd, Willow Springs, NC 27592",35.59298391,-78.69014113,st. anna freewill baptist,st. anna freewill baptist,,Food Distribution,Food Pantries,,
R1364,R1364FP,State St. Community Church,919-828-3746,3rd Sat 11:00 am - 12:30pm & as needed,"1200 S State St, Raleigh, NC 27610",35.76505666,-78.6251975,state st. community church,state st. community church,,Food Distribution,Food Pantries,,
R1365,R1365FP,The Stone Chapel,919-880-7817,Sundays 7:30 AM - 12:30 PM,"701 S Main St, Wake Forest, NC 27587",35.97255718,-78.51517709,the stone chapel,the stone chapel,,Food Distribution,Food Pantries,,
R1367,R1367FP,Sure Promise Christian Church,919-758-0843,"Every other Saturday, 11:00 am to 1:00 pm","4301 Pearl Rd, Raleigh, NC 27610",35.72389517,-78.56002875,sure promise christian church,sure promise christian church,,Food Distribution,Food Pantries,,
R1379,R1379FP1,The Point Care Center,919-467-9159,Saturday 11:00 am - 12:00 pm,"1503 Walnut St, Cary, NC 27511",35.76538382,-78.75109326,the point care center,the point care center,,Food Distribution,Food Pantries,,
R1381,R1381FP,The Ship Outreach & Comm Cntr,919-926-7896,2nd Saturday 10:00 am - 11:30 am,"2635 S Saunders St., Raleigh, NC 27603",35.7474161,-78.6491119,the ship outreach & comm cntr,the ship outreach & comm cntr,,Food Distribution,Food Pantries,,
R1384,R1384FP,Tri-Area Ministry,919-556-7144,"Mon, Wed,2nd & 3rd Sat 10 am-1:pm","149 East Holding Ave, Wake Forest, NC 27587",35.9720918,-78.5133344,tri-area ministry,tri-area ministry,,Food Distribution,Food Pantries,,
R1390,R1390FP,UMOJA Central SDA Church,919-931-7877, Fridays 10:00 am - 12:00 pm,"314 Bashford Rd, Raleigh, NC 27606",35.7823521,-78.7388891,umoja central sda church,umoja central sda church,,Food Distribution,Food Pantries,,
R1395,R1395FP,Upper Room Church of God,919-829-6160," 2nd & 4th Thurs 6:00 pm 9:30 pm,  2nd Sat 9am-12pm","3300 Idlewood Village Dr, Raleigh, NC 27610",35.736222,-78.616961,upper room church of god,upper room church of god,,Food Distribution,Food Pantries,,
R1396,R1396FP,Urban Ministries of Wake County,919-256-2170,M-F/9a-1p,"1390 Capital Blvd, Raleigh, NC 27603",35.79937075,-78.63493983,urban ministries of wake county,urban ministries,,Food Distribution,Food Pantries,,
R1399,R1399FP,Victory Gospel Chapel,919-743-0086,Wed 11am-2pm,"1118 S East St, Raleigh, NC 27610",29.9638469,-92.1347427,victory gospel chapel,victory gospel chapel,,Food Distribution,Food Pantries,,
R1402,R1402FP,Wake Chapel Church,919-872-7776, 2nd Saturday 9:00 am and by appointment during office hours,"3805 Tarheel Club Rd, Raleigh, NC 27604",35.8274836,-78.5225572,wake chapel church,wake chapel church,,Food Distribution,Food Pantries,,
R1416,R1416FP,Wendell United Methodist,919-906-5414,"Tuesdays 5pm -7pm, Thursday 9am - 10:30 am, last Sat 10am - 12 noon","129 N Main St, Wendell, NC 27591",35.7841057,",-78.37010604898941",wendell united methodist,wendell united methodist,,Food Distribution,Food Pantries,,
R1418,R1418FP,Western Wake Crisis Ministry,919-362-0657,Monday-Thursday 9am - 5pm by appt only,"1600 Olive Chapel Rd. Suite 408, Apex, NC 27502",35.73709755,-78.89101422,western wake crisis ministry,western wake crisis ministry,,Food Distribution,Food Pantries,,
R1419,R1419FP,White Oak Foundation,919-362-6768,Wednesdays and Fridays from 12:00-2:00,"1621 White Oak Church Rd, Apex, NC 27523",35.77992456,-78.9187318,white oak foundation,white oak foundation,,Food Distribution,Food Pantries,,
R1420,R1420FP,Williams Grove Baptist Church,919-829-1282,1st & 4th Sat 10:30 am - 12:30 pm,"735 Rock Quarry Rd, Raleigh, NC 27610",35.7698282,-78.61814492,williams grove baptist church,williams grove baptist church,,Food Distribution,Food Pantries,,
R1422,R1422FP,With Love From Jesus Ministry,919-750-6131,Tues/Wed/Fri/Sat -- 9:30am - 12pm,"421 Chapanoke Rd, Raleigh, NC 27603",35.7354139,-78.6494171,with love from jesus ministry,with love from jesus,,Food Distribution,Food Pantries,,
R1425,R1425FP,Word of God Fellowship,919-834-1141,Thurs 1pm - 2pm and as needed,"3000 Rock Quarry Rd, Raleigh, NC 27610",35.747316,-78.597078,word of god fellowship,word of god fellowship,,Food Distribution,Food Pantries,,
R1427,R1427FP,Zebulon United Methodist,772-360-8739,Tuesday & Thursday 9am to10:30 am ,"114 W Sycamore St, Zebulon, NC 27597",35.82346266,-78.31590851,zebulon united methodist,zebulon united methodist,,Food Distribution,Food Pantries,,
R1503,R1503FP,Solid Rock Ministry International Inc.,919-772-5681,"1st & 3rd Wednesday, 4th Saturday 9am -11am","401 Creech Rd, Garner, NC 27529",35.71398745,-78.60386287,solid rock ministry international inc.,solid rock ministry international inc.,,Food Distribution,Food Pantries,,
R1505,R1505FP,Christian Life Fellowship Food Pantry,919-877-5770,"1st & 3rd Saturdays, 9-11 am","3209 Gresham Lake Road, Suite 136Raleigh NC 27615",35.88485,-78.582561,christian life fellowship food pantry,christian life fellowship food pantry,,Food Distribution,Food Pantries,,
R1506,R1506FP,NC Harm Reduction,919-370-0671,Wednesday- Friday 11:00 am - 4:00 pm,"4024 Barrett Dr Ste 101, Raleigh, NC 27609",35.8309961,-78.63036111,nc harm reduction,nc harm reduction,,Food Distribution,Food Pantries,,
R1508,R1508FP,DHIC,919-832-4345 ,24hr access to residents,"1951 Booker Drive, Raleigh, NC 27610",35.7871294,-78.6149306,dhic,dhic,,Food Distribution,Food Pantries,,
R1509,R1509FP,Jewish Family Services,919-676-2200,Monday - Friday 9am - 3pm,"8210 Creedmoor Rd Ste 104, Raleigh, NC 27609",35.89901682,-78.68006283,jewish family services,jewish family services,,Food Distribution,Food Pantries,,
R1510,R1510FP,North Raleigh Ministries,919-844-6676,"MTTH10:30 am - 2:00pm, W 3:30pm - 7:00 pm","2809 E Millbrook Rd, Raleigh, NC 27609",35.849539,-78.586369,north raleigh ministries,north raleigh ministries,,Food Distribution,Food Pantries,,
R1518,R1518FP,Kirk of Kildaire Presbyterian Church,919-467-4944,"Wednesday 10am -11am, 6:30pm -7:30pm ; 1st & 3rd Saturday 10am - 11am","200 High Meadow Dr, Cary, NC 27511",35.7621908,-78.7851092,kirk of kildaire presbyterian church,kirk of kildaire presbyterian church,,Food Distribution,Food Pantries,,
R1538,R1538FP,Grace Christian Church,919-878-8388,"4th Sat  9am-12pm quarterly ( Jan, April, July & Oct)","7715 Louisburg Rd, Raleigh, NC 27616",35.8986327,-78.4996115,grace christian church,grace christian church,,Food Distribution,Food Pantries,,
R1563,R1563FP,Iglesia Tabernaculo De Restauracion,201-699-2796,"3rd Friday 12:00 pm - 3:00 pm, & as needed","7604 Rock Quarry Rd., Raleigh, NC 27610",35.6910415,-78.5271918,iglesia tabernaculo de restauracion,iglesia tabernaculo de restauracion,,Food Distribution,Food Pantries,,
R1585,R1585FP,Springfield Baptist Church,919-772-8078,1st & 3rd Saturday 9am - 1pm,"4309 Auburn Knightdale Rd., Raleigh, NC 27610",35.697484,-78.543158,springfield baptist church,springfield baptist church,,Food Distribution,Food Pantries,,
R1586,R1586FP,Open Table,919-832-1390,"Wednesdays, 12pm - 1pm","824 Bloodworth St., Raleigh, NC 27604",35.79150997,-78.63148235,open table,open table,,Food Distribution,Food Pantries,,
R1587,R1587FP,Celebration Church,919-954-8800,"1st, 3rd & 5th Sat 11:00 am-12:30 pm","8700 Capital Blvd., Raleigh, NC 27616",35.8973239,-78.5587136,celebration church,celebration church,,Food Distribution,Food Pantries,,
R1593,R1593FP,Lincoln Park Holiness Church,919-880-5065,"Tues & Thurs 2pm-4pm, Sat 2pm-3pm","1504 New Bern Ave, Raleigh, NC 27610",35.7801719,-78.6169435,lincoln park holiness church,lincoln park holiness church,,Food Distribution,Food Pantries,,
R1605,R1605FP,The Way Church,984-365-6222,"Every other Mon 8am-12pm, 3rd Tue 12pm-2pm","3704 Benson Rd., Garner, NC 27529",35.62792069,-78.61031965,the way church,the way church,,Food Distribution,Food Pantries,,
R1606,R1606FP,Compass Christian Church,919-277-1680,1st Sat 10am-12pm,"5309 Umstead Rd., Fuquay-Varina, NC 27526",35.6302703,-78.720175,compass christian church,compass christian church,,Food Distribution,Food Pantries,,
R1620,R1620FP,South Raleigh Inwood Care Pantry,919-422-5278,Sat 11am-12pm,"3700 Lake Wheeler Rd, Raleigh, NC 27603",35.7305089,-78.6833344,south raleigh inwood care pantry,south raleigh inwood care pantry,,Food Distribution,Food Pantries,,
R1624,R1624FP,Iglesia Pentecostal Puerta Al Cielo,919-337-7045,Thursday 5pm-6pm,"1411-1 Diggs Dr., Raleigh, NC 27603",35.75528755,-78.66234357,iglesia pentecostal puerta al cielo,iglesia pentecostal puerta al cielo,,Food Distribution,Food Pantries,,
R1625,R1625FP,Oak City Baptist Church,919-676-9895,Saturday 9am-12pm,"726 Method Rd., Raleigh, NC 27607",35.7897828,-78.693701,oak city baptist church,oak city baptist church,,Food Distribution,Food Pantries,,
R1641,R1641FP,Wake Relief,207-838-1493,"Mon & Tue 1pm -3pm, W 10am -12pm, 4th Sat 10am -12pm","616 Tucker Street, Raleigh, NC 27603",35.78670865,-78.64841474,wake relief,wake relief,,Food Distribution,Food Pantries,,
R1642,R1642FP,Grace Within Transitions Foundation,919-289-9772,"1st & 3rd Tue 4pm-7pm, 2nd & 4th Sat 10am-12pm","2611 Torquay Crossing, Raleigh, NC 27616",35.8665349,-78.5929465,grace within transitions foundation,grace within transitions foundation,,Food Distribution,Food Pantries,,
C1000,C1000FP,Martin Street Baptist Church,919-833-9756,"2nd Saturday of each month, 10am-11am","1001 E Martin St, Raleigh, NC 27601",35.776476,-78.623752,martin street baptist church,martin street baptist church,,Food Distribution,Food Pantries,,
C1001,C1001FP,Cross Point Community Church Mobile Market,919-427-6677,"1st Saturday of each month, 9am-11am","1001 Steeple Square Court, Knightdale, NC 27545",35.8025854,-78.4885557,cross point community church mobile market,cross point community church mobile market,,Food Distribution,Food Pantries,,
C1002,C1002FP,Wilson Temple,919-828-9989,"2nd and 4th Saturdays, 11am -1pm; HOLIDAY CHANGES: December dates: 2nd and 3rd Saturdays","1023 Oberlin Rd, Raleigh, NC 27605",35.797206,-78.6603521,wilson temple,wilson temple,,Food Distribution,Food Pantries,,
C1003,C1003FP,Wake Forest Baptist Church Mobile Market,919-556-5141,"3rd Tuesday of the month, 4:30pm-6pm","107 E. South Av, Wake Forest, NC 27601",35.9788085,-78.5113378,wake forest baptist church mobile market,wake forest baptist church,,Food Distribution,Food Pantries,,
C1004,C1004FP,Cary Church,919-467-0537,Saturdays (1st & 2nd weeks starting at 11 am),107 Quade Drive Cary NC 27513,35.8170997,-78.8046151,cary church,cary church,,Food Distribution,Food Pantries,,
C1005,C1005FP,Christ Community UMC,919-553-9770,2nd Saturday 9am,1082 Amelia Church Road Clayton 27520,35.6470269,-78.4898179,christ community united methodist church,christ community united methodist church,,Food Distribution,Food Pantries,,
C1006,C1006FP,First Baptist Creedmoor Food Mission ,919-528-2351,Wednesday 9 - 11:30am,119 South Main Street Creedmoor 27522,36.117632,-78.6867117,first baptist creedmoor food mission,first baptist creedmoor food mission,,Food Distribution,Food Pantries,,
C1007,C1007FP,Glory Tabernacle,919-906-9384,Tuesdays (2-4 pm),"120 Weathers Street, Youngsville, NC 27596",35.931434,-78.456786,glory tabernacle,glory tabernacle,,Food Distribution,Food Pantries,,
C1008,C1008FP,Cristo La Solucion,919-790-0266,Thursday 8pm Sunday 10am,1205 N Smithfield Rd Knightdale,35.7997838,-78.4874397,cristo la solucion,cristo la solucion,,Food Distribution,Food Pantries,,
C1009,C1009FP,FEED Ministry: North Wake Church,919-556-1546,Sunday (8:45 - 10:15 am),"1212 South Main Street, # 2 Wake Forest NC27587",35.9727114,-78.5153267,feed ministry: north wake church,feed ministry: north wake church,,Food Distribution,Food Pantries,,
C1010,C1010FP,The Father's Table-Calvary Faith Center,No phone # listed,3rd Saturday,"124 Tast Drive, Wendell, NC 27591",35.707826,-78.362676,the fatherâ€™s table-calvary faith center,the fatherâ€™s table-calvary faith center,,Food Distribution,Food Pantries,,
C1011,C1011FP,Lincoln Park Food Distribution Ministry,984-200-4427,"Tuesdays and Thursdays, 2pm-4pm; Saturdays, 2pm-3pm","13 Heath St, Raleigh, NC 27610",35.7793772,-78.6170866,lincoln park food distribution ministry,lincoln park food distribution ministry,,Food Distribution,Food Pantries,,
C1012,C1012FP,St. Augustineâ€™s University,919-516-4580,Tuesdays & Thursdays 9 am to 1 pm,"1315 Oakwood Avenue, Hunter 201Raleigh, NC 27610",35.788042,-78.617442,st. augustineâ€™s university,st. augustineâ€™s university,,Food Distribution,Food Pantries,,
C1013,C1013FP,Bread for Life Mobile Market at the Boys and Girls Club of Zebulon,919-492-0783,"3rd Saturday of each month, 9am-10pm","1320 Shephard School Rd, Zebulon, NC 27597",35.899467,-78.310962,bread for life mobile market at the boys and girls club of zebulon,bread for life mobile market at the boys and girls club of zebulon,,Food Distribution,Food Pantries,,
C1014,C1014FP,Care Pantry - Apex The Point Church,919-467-9159,Saturday 11am-12pm,1402 E Williams St Apex 27539,35.7135944,-78.8396692,care pantry - apex the point church,care pantry - apex the point church,,Food Distribution,Food Pantries,,
C1015,C1015FP,Praise Temple Multi-Cultural Mobile Market,919-833-8513,4th Saturday of month 10-11am,1426 Wake Forest Rd Raleigh 27604,35.79866,-78.626909,praise temple multi-cultural mobile market,praise temple multi-cultural mobile market,,Food Distribution,Food Pantries,,
C1016,C1016FP,Green Pines Baptist Church,919-266-1613,"Wednesdays, 5:30 to 6 pm",1498 Hodge Road Knightdale NC 27545,35.78412,-78.527095,green pines baptist church,green pines baptist church,,Food Distribution,Food Pantries,,
C1017,C1017FP,Hephzibah Baptist Church,919-365-7847,Monday and Wednesday 1-3pm,1794 Wendell Blvd Wendell,35.7997984,-78.3893279,hephzibah baptist church,hephzibah baptist church,,Food Distribution,Food Pantries,,
C1018,C1018FP,A Place Called Hope,919-662-8019,1st Saturday  9am-1pm  2nd and 4th Wednesday 5pm-7pm,1809 Garner Station Blvd Raleigh 27603,35.7076,-78.6563,a place called hope,a place called hope,,Food Distribution,Food Pantries,,
C1020,C1020FP,Gethsemane SDA Church,919-614-5106,1st and 3rd Thursday 1-4pm,2525 Sanderford Rd Raleigh 27610,35.7455912,-78.6137437,gethsemane sda church,gethsemane sda church,,Food Distribution,Food Pantries,,
C1021,C1021FP,Straightway Temple Ministries,919-269-5070,3rd Wednesday of month 11am-1pm,3009 Rosinburg Rd Zebulon,35.82432,-78.31472,straightway temple ministries,straightway temple ministries,,Food Distribution,Food Pantries,,
C1022,C1022FP,Islamic Association of Raleigh Food Pantry,919-834-9572,"1st Saturday, 10 am to 12 noon",3032 Ligon Street Raleigh NC 27607,35.7891949,-78.6911758,islamic association of raleigh food pantry,islamic association of raleigh food pantry,,Food Distribution,Food Pantries,,
C1023,C1023FP,Extended Hands Mobile Market at St John United Holy Church,919-333-2118,"2nd Tuesday of each month, 11am-1pm","3201 Jack Mitchell Rd, Zebulon, NC 27597",35.870413,-78.351863,extended hands mobile market at st john united holy church,extended hands mobile market at st john united holy church,,Food Distribution,Food Pantries,,
C1024,C1024FP,First Worldwide Ministries,919-948-7003,Friday 4:30-5:30pm,3201 New Bern Avenue Raleigh 27610,35.790105,-78.586953,first worldwide ministries,first worldwide ministries,,Food Distribution,Food Pantries,,
C1025,C1025FP,Wake Crossroads,919-266-2957,"3rd Thursday, 4-6 pm","3328 Forestville Road, Raleigh, NC 27616",35.8836586,-78.5101848,wake crossroads,wake crossroads,,Food Distribution,Food Pantries,,
C1026,C1026FP,Deliverance Church International - Angier,984-202-4741,Wednesday,3328 Old Stage Rd N Angier 27501,35.4572427,-78.6911528,deliverance church international - angier,deliverance church international - angier,,Food Distribution,Food Pantries,,
C1027,C1027FP,Hope House Friendship Chapel Church,919-263-1007,Thursday 1-1:45pm,334 North Allen Rd Wake Forest 27587,35.9806016,-78.5004029,hope house friendship chapel church,hope house friendship chapel church,,Food Distribution,Food Pantries,,
C1028,C1028FP,New Fellowship Ministry Food Pantry ,919-362-9100,Thursday 11am-12pm 10am-12pm in summer,3515 Crittenden Lane Holly Springs,35.6816494,-78.8341276,new fellowship ministry food pantry,new fellowship ministry food pantry,,Food Distribution,Food Pantries,,
C1029,C1029FP,Centro Christiano Emanuel,919-523-4167,1st and 3rd Friday 9:30am-1pm,"3603 Bastion Ln., Ste. 101 Raleigh 27604",35.7978203,-78.5848787,centro christiano emanuel,centro christiano emanuel,,Food Distribution,Food Pantries,,
C1030,C1030FP,Wendell Baptist Church,919-365-4631,Monday (3:30-5:30 pm) and 2nd/4th Saturdays (10-12 pm),"3651 Wendell Boulevard, Wendell, NC 27591",35.784328,-78.3689938,wendell baptist church,wendell baptist church,,Food Distribution,Food Pantries,,
C1031,C1031FP,Zina Christian Church Pantry,919-954-9190,By appointment only,3700 Bastion Lane Raleigh Raleigh 27604,35.7991705,-78.5819431,zina christian church pantry,zina christian church pantry,,Food Distribution,Food Pantries,,
